url,domain,status_code,x_frame_options,csp_frame_ancestors,iframe_compatible,risk_level,notes
https://www.auto1.com/fr/home,www.auto1.com,200,SAMEORIGIN,,False,HIGH,X-Frame-Options: SAMEORIGIN bloque l'iframe
https://starmycar.com,starmycar.com,,,,,HIGH,Erreur de connexion - site inaccessible
https://www.carcarekiosk.com/,www.carcarekiosk.com,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://wavewatch-beta-v19.vercel.app/,wavewatch-beta-v19.vercel.app,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://desicinemas.pk/,desicinemas.pk,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://nakios.site/tv,nakios.site,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://www.novovue.fr/,www.novovue.fr,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://moviepire.net/,moviepire.net,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://dl3.wavewatch.xyz/,dl3.wavewatch.xyz,404,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://xalaflix.art/movies,xalaflix.art,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://nunflix.org/,nunflix.org,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://purstream.to/,purstream.to,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://www.empire-stream.fr/,www.empire-stream.fr,200,SAMEORIGIN,,False,HIGH,X-Frame-Options: SAMEORIGIN bloque l'iframe
https://nova-stream.live/,nova-stream.live,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://ufrov.com/,ufrov.com,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://flixer.su/,flixer.su,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://netmirror.app/1/en,netmirror.app,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://myretrotvs.com,myretrotvs.com,200,SAMEORIGIN,'self',False,HIGH,X-Frame-Options: SAMEORIGIN bloque l'iframe
https://tv.garden,tv.garden,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://www.xataf.com/,www.xataf.com,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://movix.website/,movix.website,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://www.j2n.fr/,www.j2n.fr,200,SAMEORIGIN,,False,HIGH,X-Frame-Options: SAMEORIGIN bloque l'iframe
https://netaklap.com/wmu81z7hp/home/netaklap/,netaklap.com,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://xprime.tv/,xprime.tv,403,SAMEORIGIN,,False,HIGH,X-Frame-Options: SAMEORIGIN bloque l'iframe
https://www.cineby.app/,www.cineby.app,200,DENY,,False,HIGH,X-Frame-Options: DENY bloque l'iframe
https://www.bitcine.app/,www.bitcine.app,,,,,HIGH,Erreur de connexion - site inaccessible
https://www.fmovies.gd/home,www.fmovies.gd,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://footballia.eu/,footballia.eu,200,SAMEORIGIN,,False,HIGH,X-Frame-Options: SAMEORIGIN bloque l'iframe
https://www.teleparty.com/,www.teleparty.com,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://www.netflix-codes.com/fr,www.netflix-codes.com,200,,,False,HIGH,Aucune restriction iframe détectée dans les en-têtes; Plateforme de streaming majeure - bloque généralement l'iframe
